season_id,team_name,manager_name,from_date,to_date,is_primary_manager,source_confidence
2023-24,Leicester City,Enzo Maresca,2023-06-16,2024-06-03,1,A
2022-23,Burnley,Vincent Kompany,2022-06-13,2023-05-31,1,A
